 ime,open,high,low,close,Volume
2025-02-07 11:47:00,523.88,524.46,523.85,524.32,2966
2025-02-07 11:48:00,524.44,524.47,524.17,524.36,5094
2025-02-07 11:49:00,524.39,524.47,524.07,524.18,1719
2025-02-07 11:50:00,524.15,524.42,523.88,524.41,4367
2025-02-07 11:51:00,524.365,524.365,523.73,523.77,14421
2025-02-07 11:52:00,523.8,523.89,523.54,523.57,4734
2025-02-07 11:53:00,523.5,523.95,523.46,523.93,3753
2025-02-07 11:54:00,523.96,524,523.62,523.99,1304
2025-02-07 11:55:00,524.04,524.05,523.86,523.99,1209
2025-02-07 11:56:00,524.07,524.45,524,524.2,3554
2025-02-07 11:57:00,524.23,524.74,524.23,524.57,5202
2025-02-07 11:58:00,524.63,525.04,524,524.34,60155
2025-02-07 11:59:00,524.26,524.47,523.8,523.94,16975
2025-02-07 12:00:00,523.85,523.95,523.29,523.63,21052
2025-02-07 12:01:00,523.57,523.855,523.57,523.675,3651
2025-02-07 12:02:00,523.67,523.9,523.65,523.76,1708
2025-02-07 12:03:00,523.75,523.75,523.29,523.46,9334
2025-02-07 12:04:00,523.55,523.68,523.44,523.55,2307
2025-02-07 12:05:00,523.5,523.64,522.9,523.62,17414
2025-02-07 12:06:00,523.63,523.89,523.41,523.88,7380
2025-02-07 12:07:00,523.89,524.68,523.88,524.11,17152
2025-02-07 12:08:00,524.15,524.87,524.11,524.87,13550
2025-02-07 12:09:00,524.89,524.95,524.56,524.64,5274
2025-02-07 12:10:00,524.67,524.68,524.16,524.32,4452
2025-02-07 12:11:00,524.26,524.58,523.94,524.56,7570
2025-02-07 12:12:00,524.6,524.87,524.58,524.83,4806
2025-02-07 12:13:00,524.87,525.03,524.66,524.74,6413
2025-02-07 12:14:00,524.73,525,524.73,524.94,4555
2025-02-07 12:15:00,524.92,524.97,524.09,524.39,15992
2025-02-07 12:16:00,524.45,524.71,524.2,524.49,21459
2025-02-07 12:17:00,524.45,524.45,523.79,523.92,12248
2025-02-07 12:18:00,523.92,523.92,522.91,523.6,20913
2025-02-07 12:19:00,523.56,523.82,523.15,523.68,7073
2025-02-07 12:20:00,523.68,524.05,523.47,523.91,4294
2025-02-07 12:21:00,523.87,524.8,523.18,524.34,37212
2025-02-07 12:22:00,524.25,524.73,523.63,523.74,30491
2025-02-07 12:23:00,523.7,523.88,523.53,523.64,10117
2025-02-07 12:24:00,523.64,524,523.57,523.67,13462
2025-02-07 12:25:00,523.66,523.71,523.465,523.71,9414
2025-02-07 12:26:00,523.68,523.76,523.52,523.66,3801
2025-02-07 12:27:00,523.71,523.82,523.5,523.6,11604
2025-02-07 12:28:00,523.62,523.91,523.55,523.87,1833
2025-02-07 12:29:00,523.94,524.2,523.84,523.89,8108
2025-02-07 12:30:00,523.87,524.06,523.6,524.02,8576
2025-02-07 12:31:00,524.11,524.42,524.06,524.18,7832
2025-02-07 12:32:00,524.32,524.32,523.81,523.82,12555
2025-02-07 12:33:00,523.83,523.84,523.45,523.82,14026
2025-02-07 12:34:00,523.89,523.9,523.47,523.75,10713
2025-02-07 12:35:00,523.77,523.89,523.67,523.77,4501
2025-02-07 12:36:00,523.86,524.35,523.84,524.32,3425
2025-02-07 12:37:00,524.41,524.5,524.15,524.4,2933
2025-02-07 12:38:00,524.34,524.74,524.34,524.62,3133
2025-02-07 12:39:00,524.62,524.82,524.62,524.79,6552
2025-02-07 12:40:00,524.73,524.81,524.6,524.71,7872
2025-02-07 12:41:00,524.74,524.96,524.56,524.57,5899
2025-02-07 12:42:00,524.62,524.79,524.57,524.59,2282
2025-02-07 12:43:00,524.54,524.7,524.45,524.69,4878
2025-02-07 12:44:00,524.72,524.82,524.52,524.66,3651
2025-02-07 12:45:00,524.66,524.9,524.58,524.9,2327
2025-02-07 12:46:00,524.84,524.89,524.66,524.77,2548
2025-02-07 12:47:00,524.76,525.04,524.73,524.94,3359
2025-02-07 12:48:00,525.01,525.16,524.99,525.14,3207
2025-02-07 12:49:00,525.14,525.17,524.95,525.02,10760
2025-02-07 12:50:00,524.99,525.26,524.88,524.91,10463
2025-02-07 12:51:00,524.89,524.93,524.34,524.38,12783
2025-02-07 12:52:00,524.36,524.63,524.33,524.63,8444
2025-02-07 12:53:00,524.65,524.66,524.42,524.55,2147
2025-02-07 12:54:00,524.55,524.87,524.55,524.87,7516
2025-02-07 12:55:00,524.87,524.93,524.78,524.85,5688
2025-02-07 12:56:00,524.85,525.11,524.83,525.08,3068
2025-02-07 12:57:00,524.99,525.069,524.92,524.97,3854
2025-02-07 12:58:00,524.955,524.99,524.73,524.85,6560
2025-02-07 12:59:00,524.83,524.84,524.47,524.55,9520
2025-02-07 13:00:00,524.56,524.65,524.39,524.64,4623
2025-02-07 13:01:00,524.63,524.85,524.63,524.83,3225
2025-02-07 13:02:00,524.9,525.18,524.87,525.18,5782
2025-02-07 13:03:00,525.15,525.34,525.15,525.26,9250
2025-02-07 13:04:00,525.24,525.48,525.24,525.37,4716
2025-02-07 13:05:00,525.37,525.755,525.36,525.755,7217
2025-02-07 13:06:00,525.69,526.2,525.67,525.95,12682
2025-02-07 13:07:00,525.93,525.96,525.77,525.77,13578
2025-02-07 13:08:00,525.75,526.03,525.72,526,10244
2025-02-07 13:09:00,525.97,525.98,525.86,525.89,1197
2025-02-07 13:10:00,525.88,526,525.84,525.88,2360
2025-02-07 13:11:00,525.95,525.95,525.75,525.931,875
2025-02-07 13:12:00,525.93,525.93,525.84,525.84,647
2025-02-07 13:13:00,525.89,526.17,525.89,526.17,2755
2025-02-07 13:14:00,526.145,526.145,526.03,526.06,3579
2025-02-07 13:15:00,526.13,526.4,526.13,526.29,6251
2025-02-07 13:16:00,526.29,526.31,526.07,526.21,3842
2025-02-07 13:17:00,526.23,526.23,526.09,526.1,2483
2025-02-07 13:18:00,526.14,526.18,526.01,526.16,2655
2025-02-07 13:19:00,526.11,526.26,526.11,526.2,2466
2025-02-07 13:20:00,526.16,526.17,525.92,525.97,3211
2025-02-07 13:21:00,525.94,525.97,525.7,525.77,8045
2025-02-07 13:22:00,525.78,526.04,525.7,525.71,15510
2025-02-07 13:23:00,525.71,525.94,525.68,525.71,4586
2025-02-07 13:24:00,525.74,525.9,525.7,525.87,3224
2025-02-07 13:25:00,525.87,525.9,525.68,525.81,2693
2025-02-07 13:26:00,525.79,525.95,525.77,525.95,1310
2025-02-07 13:27:00,525.92,526.01,525.91,526,4854
2025-02-07 13:28:00,525.995,526,525.79,525.98,2167
2025-02-07 13:29:00,525.95,526,525.82,525.91,1548
2025-02-07 13:30:00,525.87,526.06,525.87,525.95,3601
2025-02-07 13:31:00,525.945,526.03,525.94,526,4113
2025-02-07 13:32:00,526.03,526.12,525.96,525.99,609
2025-02-07 13:33:00,526.05,526.05,525.84,525.9,695
2025-02-07 13:34:00,525.95,526.11,525.95,526.11,1170
2025-02-07 13:35:00,526.1,526.22,526.05,526.08,1522
2025-02-07 13:36:00,526.15,526.24,526.08,526.08,4790
2025-02-07 13:37:00,526.09,526.14,526,526.06,9312
2025-02-07 13:38:00,526.09,526.21,526.01,526.17,952
2025-02-07 13:39:00,526.19,526.27,526.16,526.22,6963
2025-02-07 13:40:00,526.17,526.25,525.66,525.67,2306
2025-02-07 13:41:00,525.67,525.67,525.3,525.38,7024
2025-02-07 13:42:00,525.48,525.58,525.17,525.25,4774
2025-02-07 13:43:00,525.21,525.29,524.67,524.74,6656
2025-02-07 13:44:00,524.71,524.91,524.66,524.89,7135
2025-02-07 13:45:00,524.97,524.97,524.5,524.55,6483
2025-02-07 13:46:00,524.63,524.73,524.49,524.63,3519
2025-02-07 13:47:00,524.53,524.72,524.46,524.64,974
2025-02-07 13:48:00,524.6,524.6,524.21,524.29,8438
2025-02-07 13:49:00,524.29,524.49,524.29,524.475,2352
2025-02-07 13:50:00,524.49,524.66,524.32,524.44,3540
2025-02-07 13:51:00,524.48,524.6,524.4,524.57,3555
2025-02-07 13:52:00,524.6,524.65,524.37,524.43,4225
2025-02-07 13:53:00,524.34,524.34,524.08,524.21,6082
2025-02-07 13:54:00,524.22,524.37,524.18,524.18,6204
2025-02-07 13:55:00,524.31,524.33,524.22,524.27,3580
2025-02-07 13:56:00,524.28,524.32,524.17,524.21,3578
2025-02-07 13:57:00,524.24,524.31,524.01,524.09,8693
2025-02-07 13:58:00,524.085,524.09,523.875,524.09,7997
2025-02-07 13:59:00,524,524.03,523.76,523.84,5719
2025-02-07 14:00:00,523.82,523.87,523.71,523.82,2814
2025-02-07 14:01:00,523.82,524.03,523.82,524,2963
2025-02-07 14:02:00,523.94,524.04,523.88,523.93,3636
2025-02-07 14:03:00,523.92,524.16,523.92,524.04,5420
2025-02-07 14:04:00,524.07,524.18,523.93,524.03,8476
2025-02-07 14:05:00,524.04,524.14,523.9,523.96,10214
2025-02-07 14:06:00,523.96,523.96,523.68,523.7,10021
2025-02-07 14:07:00,523.7,523.7,523.45,523.6,6611
2025-02-07 14:08:00,523.64,523.77,523.6,523.75,3012
2025-02-07 14:09:00,523.75,523.84,523.661,523.74,2953
2025-02-07 14:10:00,523.73,523.835,523.41,523.47,4358
2025-02-07 14:11:00,523.46,523.46,523.27,523.32,3377
2025-02-07 14:12:00,523.3,523.3,523.15,523.18,5256
2025-02-07 14:13:00,523.2,523.4,523.2,523.3,4296
2025-02-07 14:14:00,523.35,523.46,523.32,523.38,2009
2025-02-07 14:15:00,523.39,523.54,523.27,523.43,10550
2025-02-07 14:16:00,523.4,523.53,523.35,523.53,3612
2025-02-07 14:17:00,523.51,523.51,523.3,523.38,3608
2025-02-07 14:18:00,523.4,523.4,523.08,523.09,10742
2025-02-07 14:19:00,523.08,523.22,523.08,523.17,2541
2025-02-07 14:20:00,523.2,523.27,523.14,523.25,4768
2025-02-07 14:21:00,523.24,523.32,522.68,522.79,23032
2025-02-07 14:22:00,522.82,523.06,522.61,522.95,19574
2025-02-07 14:23:00,522.92,523.16,522.84,523,1983
2025-02-07 14:24:00,522.98,523.11,522.91,523.08,3674
2025-02-07 14:25:00,523.08,523.29,523.08,523.16,3925
2025-02-07 14:26:00,523.15,523.21,523.05,523.1,5277
2025-02-07 14:27:00,523.07,523.07,522.84,522.99,4261
2025-02-07 14:28:00,522.97,523.09,522.94,522.97,3021
2025-02-07 14:29:00,522.99,523.09,522.73,522.73,6623
2025-02-07 14:30:00,522.75,522.76,522.48,522.67,14846
2025-02-07 14:31:00,522.67,522.83,522.61,522.83,3611
2025-02-07 14:32:00,522.85,523.21,522.75,523.05,20554
2025-02-07 14:33:00,523.02,523.02,522.77,522.83,5264
2025-02-07 14:34:00,522.84,523.2,522.84,523.17,9221
2025-02-07 14:35:00,523.11,523.12,522.95,523.01,10116
2025-02-07 14:36:00,523.02,523.12,522.9,523,8958
2025-02-07 14:37:00,523.02,523.16,522.95,523.14,6716
2025-02-07 14:38:00,523.17,523.32,523.17,523.3,14379
2025-02-07 14:39:00,523.29,523.43,523.25,523.38,14564
2025-02-07 14:40:00,523.39,523.51,523.15,523.29,14709
2025-02-07 14:41:00,523.38,523.38,523.04,523.15,18839
2025-02-07 14:42:00,523.05,523.66,523.01,523.51,4598
2025-02-07 14:43:00,523.43,523.51,523.28,523.32,8266
2025-02-07 14:44:00,523.36,523.63,523.36,523.57,10387
2025-02-07 14:45:00,523.54,523.68,523.48,523.53,3795
2025-02-07 14:46:00,523.52,523.55,523.13,523.2,11126
2025-02-07 14:47:00,523.3,523.47,523.22,523.47,3245
2025-02-07 14:48:00,523.46,523.73,523.46,523.73,4519
2025-02-07 14:49:00,523.7,523.8,523.65,523.72,4604
2025-02-07 14:50:00,523.73,523.81,523.67,523.72,3803
2025-02-07 14:51:00,523.72,523.81,523.7,523.8,5689
2025-02-07 14:52:00,523.79,523.82,523.65,523.7,5875
2025-02-07 14:53:00,523.69,523.69,523.31,523.35,6138
2025-02-07 14:54:00,523.44,523.58,523.44,523.51,1312
2025-02-07 14:55:00,523.52,523.58,523.46,523.5,896
2025-02-07 14:56:00,523.54,523.59,523.52,523.55,5081
2025-02-07 14:57:00,523.56,523.73,523.53,523.65,5701
2025-02-07 14:58:00,523.65,523.65,523.43,523.49,10177
2025-02-07 14:59:00,523.49,523.5,523.33,523.49,6721
2025-02-07 15:00:00,523.44,523.44,523.19,523.22,3793
2025-02-07 15:01:00,523.22,523.22,522.85,522.89,21692
2025-02-07 15:02:00,522.85,522.99,522.75,522.75,3815
2025-02-07 15:03:00,522.75,522.83,522.67,522.8,3839
2025-02-07 15:04:00,522.79,522.88,522.69,522.82,7405
2025-02-07 15:05:00,522.82,522.89,522.76,522.89,7789
2025-02-07 15:06:00,522.96,523.2,522.85,523.03,9717
2025-02-07 15:07:00,523.03,523.05,522.9,522.94,2558
2025-02-07 15:08:00,523,523.15,523,523.08,6167
